"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","Albumin",".","0.00 (-0.10;  0.10)",".",".",".","0.06 (-0.04;  0.16)",".",".","."
"2","0.02 (-0.13;  0.16)","BRS",".",".",".",".","0.03 (-0.08;  0.14)",".",".","0.80 ( 0.69;  0.91)"
"3","0.01 (-0.08;  0.11)","-0.00 (-0.12;  0.12)","HES",".",".",".","0.03 (-0.03;  0.09)",".",".","."
"4","0.95 ( 0.71;  1.18)","0.93 ( 0.74;  1.12)","0.93 ( 0.71;  1.16)","HH","-0.04 (-0.14;  0.06)",".",".",".",".","."
"5","0.91 ( 0.69;  1.12)","0.89 ( 0.73;  1.05)","0.89 ( 0.69;  1.09)","-0.04 (-0.14;  0.06)","HS",".",".",".",".","-0.09 (-0.20;  0.02)"
"6","0.76 ( 0.57;  0.96)","0.75 ( 0.61;  0.88)","0.75 ( 0.57;  0.93)","-0.18 (-0.35; -0.02)","-0.14 (-0.27; -0.01)","HSD",".",".","-0.04 (-0.15;  0.07)","0.05 (-0.02;  0.12)"
"7","0.05 (-0.05;  0.14)","0.03 (-0.08;  0.14)","0.03 (-0.03;  0.09)","-0.90 (-1.12; -0.68)","-0.86 (-1.05; -0.67)","-0.72 (-0.89; -0.55)","NS","-0.04 (-0.15;  0.07)",".","."
"8","0.01 (-0.14;  0.15)","-0.01 (-0.16;  0.14)","-0.01 (-0.13;  0.12)","-0.94 (-1.18; -0.70)","-0.90 (-1.12; -0.68)","-0.76 (-0.96; -0.56)","-0.04 (-0.15;  0.07)","Plasma",".","."
"9","0.72 ( 0.50;  0.95)","0.71 ( 0.54;  0.88)","0.71 ( 0.50;  0.92)","-0.22 (-0.42; -0.03)","-0.18 (-0.35; -0.01)","-0.04 (-0.15;  0.07)","0.68 ( 0.48;  0.88)","0.72 ( 0.49;  0.95)","plasma-lyte A","."
"10","0.82 ( 0.63;  1.00)","0.80 ( 0.69;  0.91)","0.80 ( 0.63;  0.97)","-0.13 (-0.28;  0.02)","-0.09 (-0.20;  0.02)","0.05 (-0.02;  0.12)","0.77 ( 0.61;  0.93)","0.81 ( 0.62;  1.00)","0.09 (-0.04;  0.22)","RL"
